"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.31303493214983e-06,5,5,29.6547619047619,"Phosphate transport","","SERP0956 SERP0957 SERP0958 SERP0959 SERP0960"
2.44572876370258e-10,9,10,26.6892857142857,"YSIRK type signal peptide","http://pfam.xfam.org/family/PF04650","SERP0018 SERP0026 SERP0719 SERP1011 SERP1316 SERP2297 SERP2336 SERP2388 SERP2398"
2.39710785038912e-09,8,9,26.3597883597884,"YSIRK Gram-positive signal peptide","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR005877","SERP0018 SERP0026 SERP0719 SERP1316 SERP2297 SERP2336 SERP2388 SERP2398"
0.000335246969807268,4,5,23.7238095238095,"Triglyceride lipase activity","","SERP0018 SERP2297 SERP2336 SERP2388"
0.000335246969807268,4,5,23.7238095238095,"Organic phosphonate transmembrane transporter activity, and 5-nucleotidase, conserved site","","SERP2283 SERP2284 SERP2285 SERP2286"
0.00329964107666091,3,4,22.2410714285714,"Organic phosphonate transmembrane transporter activity","http://amigo.geneontology.org/amigo/term/GO:0015604","SERP2283 SERP2284 SERP2285"
0.00329964107666091,3,4,22.2410714285714,"Zymogen","","SERP1397 SERP2297 SERP2390"
0.000734909417924722,4,6,19.7698412698413,"Transcriptional regulator SarA/Rot","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR010166","SERP1322 SERP1849 SERP1876 SERP1878"
0.00140692941147725,4,7,16.9455782312925,"Lipase activity","http://amigo.geneontology.org/amigo/term/GO:0016298","SERP0018 SERP2297 SERP2336 SERP2388"
0.00140692941147725,4,7,16.9455782312925,"LPXTG cell wall anchor domain","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR019931","SERP0719 SERP1316 SERP1483 SERP2398"
6.5062205157134e-10,12,24,14.827380952381,"Secreted","","SERP0018 SERP0026 SERP0719 SERP1316 SERP1397 SERP1483 SERP2252 SERP2297 SERP2336 SERP2388 SERP2390 SERP2398"
0.00208362812258199,4,8,14.827380952381,"Cell wall","","SERP0719 SERP1483 SERP2390 SERP2398"
0.000335246969807268,6,15,11.8619047619048,"Mixed, incl. transcriptional regulator sara/rot, and delta-hemolysin","","SERP1322 SERP1849 SERP1876 SERP1877 SERP1878 SERP1879"
0.00449576375985411,4,10,11.8619047619048,"Mixed, incl. domain of unknown function duf1542, and cell adhesion","","SERP1011 SERP1316 SERP2063 SERP2281"
0.00174121697678068,5,14,10.5909863945578,"Mixed, incl. nucleotidase activity, and organic phosphonate transmembrane transporter activity","","SERP2282 SERP2283 SERP2284 SERP2285 SERP2286"
0.0038457742259825,5,17,8.72198879551821,"Mixed, incl. triglyceride lipase activity, and biosynthesis of various secondary metabolites - part 3","","SERP0018 SERP0635 SERP2297 SERP2336 SERP2388"
0.00174121697678068,6,22,8.08766233766234,"ABC transporter type 1, transmembrane domain MetI-like","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000515","SERP0958 SERP0959 SERP2004 SERP2283 SERP2284 SERP2355"
0.00174121697678068,6,22,8.08766233766234,"MetI-like superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR035906","SERP0958 SERP0959 SERP2004 SERP2283 SERP2284 SERP2355"
0.00174121697678068,6,22,8.08766233766234,"Binding-protein-dependent transport system inner membrane component","http://pfam.xfam.org/family/PF00528","SERP0958 SERP0959 SERP2004 SERP2283 SERP2284 SERP2355"
0.000549822835057079,9,45,5.93095238095238,"Mixed, incl. secreted, and macromolecule localization","","SERP1011 SERP1316 SERP2063 SERP2148 SERP2149 SERP2263 SERP2281 SERP2292 SERP2398"
0.000299956937526428,11,61,5.3475800156128,"Extracellular region","http://amigo.geneontology.org/amigo/term/GO:0005576","SERP0018 SERP0422 SERP1397 SERP2252 SERP2263 SERP2281 SERP2297 SERP2336 SERP2388 SERP2390 SERP2398"
0.00119464604441878,9,50,5.33785714285714,"Pathogenesis","http://amigo.geneontology.org/amigo/term/GO:0009405","SERP0342 SERP1011 SERP1322 SERP1397 SERP1849 SERP1876 SERP2263 SERP2281 SERP2390"
1.39277253983086e-06,17,97,5.19722631320569,"Signal","","SERP0018 SERP0422 SERP0719 SERP0960 SERP1316 SERP1397 SERP1483 SERP2005 SERP2167 SERP2212 SERP2252 SERP2263 SERP2286 SERP2297 SERP2336 SERP2388 SERP2390"
0.000418174802725703,12,79,4.50452079566004,"Mixed, incl. extracellular region, and alpha/beta hydrolase fold","","SERP1011 SERP1316 SERP1397 SERP2063 SERP2148 SERP2149 SERP2212 SERP2252 SERP2263 SERP2281 SERP2292 SERP2398"
0.00221518967202589,10,70,4.23639455782313,"Anion transport","http://amigo.geneontology.org/amigo/term/GO:0006820","SERP0956 SERP0957 SERP0958 SERP0959 SERP0960 SERP1935 SERP2003 SERP2004 SERP2005 SERP2060"
0.00329964107666091,10,74,4.00740025740026,"Interspecies interaction between organisms","http://amigo.geneontology.org/amigo/term/GO:0044419","SERP0342 SERP0422 SERP1011 SERP1322 SERP1397 SERP1849 SERP1876 SERP2263 SERP2281 SERP2390"
6.61578531967962e-05,17,128,3.93852306547619,"Mixed, incl. teichoic acid metabolic process, and extracellular region","","SERP0196 SERP0197 SERP0198 SERP0520 SERP0521 SERP1011 SERP1316 SERP1397 SERP2063 SERP2148 SERP2149 SERP2212 SERP2252 SERP2263 SERP2281 SERP2292 SERP2398"
